[03-May-2013 19:47:42 UTC] PHP Parse error:  syntax error, unexpected T_DOUBLE_ARROW in C:\Program Files (x86)\Zend\Apache2\htdocs\php-mvc\apphp\demos\static-site\templates\default\default.php on line 38
[01-Jul-2013 17:04:13 UTC] PHP Warning:  date() [<a href='function.date'>function.date</a>]: It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected 'Europe/Helsinki' for '3.0/DST' instead in C:\Program Files (x86)\Zend\Apache2\htdocs\php-mvc\apphp\demos\static-site\templates\default\default.php on line 45
[01-Jul-2013 17:04:15 UTC] PHP Warning:  date() [<a href='function.date'>function.date</a>]: It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected 'Europe/Helsinki' for '3.0/DST' instead in C:\Program Files (x86)\Zend\Apache2\htdocs\php-mvc\apphp\demos\static-site\templates\default\default.php on line 45
[01-Jul-2013 17:04:15 UTC] PHP Warning:  date() [<a href='function.date'>function.date</a>]: It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected 'Europe/Helsinki' for '3.0/DST' instead in C:\Program Files (x86)\Zend\Apache2\htdocs\php-mvc\apphp\demos\static-site\templates\default\default.php on line 45
[01-Jul-2013 17:04:16 UTC] PHP Warning:  date() [<a href='function.date'>function.date</a>]: It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected 'Europe/Helsinki' for '3.0/DST' instead in C:\Program Files (x86)\Zend\Apache2\htdocs\php-mvc\apphp\demos\static-site\templates\default\default.php on line 45
[01-Jul-2013 17:04:16 UTC] PHP Warning:  date() [<a href='function.date'>function.date</a>]: It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected 'Europe/Helsinki' for '3.0/DST' instead in C:\Program Files (x86)\Zend\Apache2\htdocs\php-mvc\apphp\demos\static-site\templates\default\default.php on line 45
[01-Jul-2013 17:04:18 UTC] PHP Warning:  date() [<a href='function.date'>function.date</a>]: It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected 'Europe/Helsinki' for '3.0/DST' instead in C:\Program Files (x86)\Zend\Apache2\htdocs\php-mvc\apphp\demos\static-site\templates\default\default.php on line 45
[01-Jul-2013 17:04:20 UTC] PHP Warning:  date() [<a href='function.date'>function.date</a>]: It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected 'Europe/Helsinki' for '3.0/DST' instead in C:\Program Files (x86)\Zend\Apache2\htdocs\php-mvc\apphp\demos\static-site\templates\default\default.php on line 45
[01-Jul-2013 17:04:20 UTC] PHP Warning:  date() [<a href='function.date'>function.date</a>]: It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected 'Europe/Helsinki' for '3.0/DST' instead in C:\Program Files (x86)\Zend\Apache2\htdocs\php-mvc\apphp\demos\static-site\templates\default\default.php on line 45
[01-Jul-2013 17:04:20 UTC] PHP Warning:  date() [<a href='function.date'>function.date</a>]: It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected 'Europe/Helsinki' for '3.0/DST' instead in C:\Program Files (x86)\Zend\Apache2\htdocs\php-mvc\apphp\demos\static-site\templates\default\default.php on line 45
[01-Jul-2013 17:04:21 UTC] PHP Warning:  date() [<a href='function.date'>function.date</a>]: It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected 'Europe/Helsinki' for '3.0/DST' instead in C:\Program Files (x86)\Zend\Apache2\htdocs\php-mvc\apphp\demos\static-site\templates\default\default.php on line 45
